iter	Passed	Remaining
0	4	435
1	8	421
2	12	414
3	16	386
4	20	389
5	23	368
6	25	341
7	27	321
8	30	305
9	32	291
10	34	278
11	36	266
12	37	252
13	39	241
14	40	232
15	42	223
16	44	215
17	45	208
18	47	201
19	48	195
20	50	189
21	51	184
22	53	179
23	55	174
24	56	170
25	58	166
26	60	162
27	61	158
28	63	155
29	65	151
30	66	148
31	68	144
32	69	141
33	71	138
34	72	135
35	74	132
36	76	129
37	77	126
38	79	124
39	81	121
40	82	118
41	83	114
42	84	112
43	86	109
44	87	107
45	89	104
46	91	102
47	92	100
48	94	97
49	95	95
50	97	93
51	98	91
52	100	89
53	102	87
54	103	84
55	104	82
56	106	80
57	107	77
58	109	76
59	111	74
60	113	72
61	115	70
62	116	68
63	118	66
64	119	64
65	121	62
66	122	60
67	124	58
68	126	56
69	127	54
70	129	52
71	130	50
72	132	48
73	134	47
74	135	45
75	137	43
76	138	41
77	140	39
78	141	37
79	143	35
80	145	34
81	146	32
82	148	30
83	149	28
84	151	26
85	153	24
86	155	23
87	157	21
88	158	19
89	160	17
90	161	16
91	163	14
92	164	12
93	166	10
94	168	8
95	169	7
96	171	5
97	172	3
98	174	1
99	175	0
